config_id,n_splits,mean_Accuracy,mean_Precision,mean_Recall,mean_F1-Score,mean_Demographic Parity Diff.,mean_Equal Opportunity Diff.,mean_Predictive Parity Diff.,mean_Average Predictive Value Diff.,mean_Average Odds Diff.,std_Accuracy,std_Precision,std_Recall,std_F1-Score,std_Demographic Parity Diff.,std_Equal Opportunity Diff.,std_Predictive Parity Diff.,std_Average Predictive Value Diff.,std_Average Odds Diff.
logistic_regression|none|none|pre=reweighing|tune=random|post=none,3,0.7369854884824946,0.8004361362294942,0.839911717594121,0.8148720885904113,-0.024095284095284053,-0.010733047710144902,-0.0715764922913071,-0.0101689213647434,0.006018223075367239,0.027112577073045832,0.039605847805717166,0.11417804490689584,0.03798748984370618,0.01792052420641912,0.026804104028445123,0.03724164855113388,0.05998261088532162,0.01767293421056648
logistic_regression|none|none|pre=reweighing|tune=random|post=calibrate_equalized_odds,3,0.7299814784844725,0.791420812934451,0.8456280645121846,0.811929845596782,-0.032113302113302065,-0.011427492154589344,-0.0648172460056492,0.002174609864800651,-0.010189214200618413,0.02197124436571114,0.04837618552912127,0.11935028803735016,0.03549434176169288,0.03070690196878245,0.04332034508931926,0.045880417131102934,0.046612717970826716,0.04196912942806285
logistic_regression|none|none|pre=reweighing|tune=random|post=reject_option_classification,3,0.7289834744924565,0.8589373865573372,0.7342173801401269,0.7909874106521338,-0.006064386064386085,0.049830905473080854,-0.031622329440984163,0.05404023827672006,0.01984503944290428,0.018684424857450775,0.0211291357905514,0.04148091866713732,0.01945839320772607,0.009599014848164342,0.06940958321885217,0.03340564276844452,0.09048003187922847,0.017313178897195008
random_forest|none|none|pre=reweighing|tune=none|post=none,3,0.7580095065125004,0.7877068026190832,0.895742391450546,0.8381950756093203,-0.0313106113106113,0.0007843516158556607,-0.054019391182386856,0.015502985945878345,-0.008117805901839803,0.008232881326848523,0.0022416568908962746,0.017570432512718715,0.007159930957484717,0.036297647454019734,0.06803204824241985,0.039649693610716234,0.11684205921692274,0.024410641302616266
random_forest|none|none|pre=reweighing|tune=none|post=calibrate_equalized_odds,3,0.7399944855034676,0.7648369692704667,0.9100485430957533,0.8306261190734032,-0.08283983283983283,-0.019733325151821097,-0.02525464371065093,0.06123307700507339,-0.08569977035705108,0.02892549384207562,0.029301919207884965,0.029739010594620585,0.01598780229248666,0.08084102186759895,0.08153181419793966,0.041472226806581206,0.04995387539179203,0.10121330248383921
random_forest|none|none|pre=reweighing|tune=none|post=reject_option_classification,3,0.7099584614554675,0.8686242379475368,0.6912989252045046,0.7677278956739118,0.020097300097300153,0.042451158617209384,-0.07713891863450321,0.01192983573383626,0.06294832645229374,0.04092798130479059,0.020237818979295302,0.080932048313267,0.04469718267774435,0.02218692966600839,0.05229215807682008,0.040095541530144004,0.04043162336810639,0.042581340934515405
random_forest|none|none|pre=reweighing|tune=random|post=none,3,0.7509785234336133,0.811728672586265,0.8456830881723585,0.8250169423592665,-0.012771582771582782,0.027553598377843325,-0.04878850721957958,0.051171146495603316,0.015141389955224988,0.021363590733179286,0.04089044287955523,0.0899925645216623,0.026490753582679043,0.04598429988005968,0.050957771585060416,0.027361825032126925,0.06691045332853827,0.026216264977577668
random_forest|none|none|pre=reweighing|tune=random|post=calibrate_equalized_odds,3,0.7459855064645483,0.8044445342920068,0.8499688199259015,0.8228079865178451,0.00010591010591013787,0.029068749892994832,-0.06145463363289405,0.04399297013123923,0.029485922234539858,0.015450215880042405,0.04370288028392359,0.09419075658331559,0.024513661818091264,0.027498136007528103,0.05669851550940048,0.05070875751578642,0.057213597315792834,0.028438813792168116
random_forest|none|none|pre=reweighing|tune=random|post=reject_option_classification,3,0.7399944855034676,0.8549839806759741,0.7585561791570375,0.8011029564558313,-0.0179355579355579,0.024264195414929007,-0.04085316092798604,0.03035543633033134,0.014273408206714027,0.046790899215709836,0.013483634881959113,0.09700800810302052,0.04946747690950155,0.0011444214058638714,0.05542218387817898,0.051464541289232564,0.06422904364511067,0.03217010878030209
gradient_boosting|none|none|pre=reweighing|tune=none|post=none,3,0.7610095125065185,0.7949898327805305,0.8871587004634215,0.8385238065951497,-0.01991242991242992,-0.003443099266302226,-0.06894758541432493,-0.00960606783943759,0.014366883230213484,0.03404478090045156,0.017917957158339052,0.031540821496600494,0.023979152457885716,0.04212599447973119,0.02056778927393504,0.03183468483019048,0.059973752960779274,0.03709730234615241
gradient_boosting|none|none|pre=reweighing|tune=none|post=calibrate_equalized_odds,3,0.7500074925224626,0.781865903024217,0.8914505459569838,0.8329125930635634,-0.02119644119644119,-0.00270780514865517,-0.06634862606605092,-0.007740885187316897,0.005729153944950975,0.02199969873442435,0.004681136105956508,0.034836473139094125,0.017463869601265117,0.05451089994232941,0.032540340466530565,0.04632685577156301,0.027710410612576546,0.05410047258040699
gradient_boosting|none|none|pre=reweighing|tune=none|post=reject_option_classification,3,0.7190453926980873,0.8625826484363555,0.7129843610530305,0.7768066991718882,0.006238336238336213,0.046354264462401686,-0.045583750034054314,0.02854457965504077,0.03720453067119985,0.06683721672401371,0.010113221811252833,0.12025975516442705,0.06716896238984428,0.030064190242577095,0.06220578233283744,0.040671115027551476,0.05086827438227576,0.023140503257799334
gradient_boosting|none|none|pre=reweighing|tune=random|post=none,3,0.7530104955254656,0.7813000585398066,0.8985913942995488,0.8358327155213382,-0.012258272258272251,0.001035008662860215,-0.07143689411499599,-0.004845934749058904,0.016307080539364638,0.027095562264941423,0.014447996128061327,0.02463727011123897,0.01866968910631927,0.014900132517211883,0.016035395477213457,0.06561977308325233,0.03084426257240052,0.012158951051073461
gradient_boosting|none|none|pre=reweighing|tune=random|post=calibrate_equalized_odds,3,0.7430064795334257,0.7704085660259588,0.9014526246285902,0.8307112217610575,-0.02337862337862336,-0.003068526690675144,-0.06369272243381867,0.002832871052152334,-0.0037476480225518602,0.01744372617593112,0.005838525127350564,0.02594451641410919,0.013344549115938242,0.03055874800614751,0.015993493772351066,0.08194659757091766,0.036205503074255546,0.05284450274465517
gradient_boosting|none|none|pre=reweighing|tune=random|post=reject_option_classification,3,0.7569995144845444,0.8498476112825889,0.7928420331853809,0.8202354247301237,-0.002428722428722385,0.012276395972282214,-0.07642857643480876,-0.003716604049601687,0.04441953128666686,0.024027703266231736,0.011941796444653137,0.02936227887900992,0.01999712014798901,0.009717074623989633,0.02576869076161365,0.04855917326433896,0.02919066835976323,0.020663831542165972
logistic_regression|none|one-hot|pre=none|tune=none|post=none,3,0.7460124795454136,0.7896248784046692,0.8685851582847292,0.8272242915216973,-0.03655977655977657,-0.004932266059971731,-0.05309006920944189,0.01697350101465504,-0.015136424935532819,0.015075646635901737,0.009855634887767126,0.010522378887615308,0.010134826406545524,0.03309149553323113,0.03095192635450794,0.03056219407060387,0.05282892099100094,0.03329676790773059
