model_id,model,source,scaler,encoder,bias_pre,tuning,bias_post,n_splits,eta,adversary_loss_weight,num_epochs,classifier_num_hidden_units,debias,mean_Accuracy,mean_Precision,mean_Recall,mean_F1-Score,mean_Demographic Parity Diff.,mean_Equal Opportunity Diff.,mean_Predictive Parity Diff.,mean_Average Predictive Value Diff.,mean_Average Odds Diff.,std_Accuracy,std_Precision,std_Recall,std_F1-Score,std_Demographic Parity Diff.,std_Equal Opportunity Diff.,std_Predictive Parity Diff.,std_Average Predictive Value Diff.,std_Average Odds Diff.
GB001,gradient_boosting,classic,none,none,none,none,none,3,,,,,,0.7570174965384546,0.7954811409009882,0.8785872369563358,0.8349180096905991,-0.0457661157661157,-0.0055254186815219,-0.044247352941011,0.021903889978416,-0.0270361237088457,0.0309847839001695,0.0154363288657133,0.0315343788436324,0.0222940628683274,0.0472962749660342,0.027141504128087,0.0352195943349,0.0590228411127508,0.0386760084407488
GB002,gradient_boosting,classic,none,none,none,none,calibrate_equalized_odds,3,,,,,,0.7380074685463907,0.7756343491685378,0.8814484672853773,0.8247061333694949,-0.0657961457961457,-0.0096920853481885,-0.0295162685786558,0.0479542913616941,-0.0650065538163726,0.007131087990524,0.0136543100527797,0.0363916074978362,0.0089328820754821,0.0681814100878964,0.0339417126828906,0.0623150771090074,0.0194063255827065,0.084492740050697
GB003,gradient_boosting,classic,none,none,none,none,reject_option_classification,3,,,,,,0.7239964515413617,0.8714688147799752,0.7185356369905728,0.7765938814551482,-0.0143533743533743,0.0147198631961337,-0.0622892934504124,0.0060787809183282,0.0236208093651821,0.0826397399260171,0.0407548247488821,0.175168730292105,0.0956463144123302,0.0484775740174445,0.0341124096487803,0.0137639456092513,0.0460098702407467,0.0280186921587295
GB004,gradient_boosting,classic,none,none,none,random,none,3,,,,,,0.7629935324546103,0.7833652384146061,0.9186383478228972,0.8445103631496328,-0.0425081025081024,0.0064372819023545,-0.0378632874715766,0.0624799958801856,-0.0257030965388779,0.0246683114102438,0.0365227665709085,0.0419625791112743,0.0119029949408493,0.0535094521675458,0.0347695213255744,0.0455664148493583,0.1009231136576836,0.0338792584573503
GB005,gradient_boosting,classic,none,none,none,random,calibrate_equalized_odds,3,,,,,,0.7509935084785383,0.7680068226120857,0.9272220388100216,0.8389581351721159,-0.0588197988197987,-0.0058733241582514,-0.0354962783938743,0.0565351723524936,-0.0522807152930394,0.01061918695047,0.0301458951342513,0.0491858998430729,0.0051557581935567,0.0374951216728215,0.0330919371862897,0.0653623216091438,0.0752264598023518,0.0449945482378071
GB006,gradient_boosting,classic,none,none,none,random,reject_option_classification,3,,,,,,0.7539995084905264,0.8468637825500571,0.7914358729809373,0.8171695904138794,0.0169626269626269,0.0338952632412092,-0.0797895129066894,0.0028947875939392,0.0648443574229552,0.0450470561666583,0.0061445360461015,0.0730955156773753,0.0408873651003904,0.0194023025949142,0.0642672580901049,0.0285968778445379,0.0590261114374951,0.0303367792112364
LG007,logistic_regression,classic,none,none,reweighing,none,none,3,,,,,,0.7469895044745344,0.7818363927220252,0.8857097440788428,0.8305235066311849,-0.0324796124796125,-0.0206792598804741,-0.0709436353114514,-0.023862131046039,-0.0003020447430224,0.0150633818804339,0.0095401397616798,0.0131666115974432,0.0103833426583703,0.0328277986255071,0.0249762589294106,0.0432491852996912,0.0559744170371433,0.0216073281268909
LG008,logistic_regression,classic,none,none,reweighing,none,calibrate_equalized_odds,3,,,,,,0.7409894924864985,0.7675648131772324,0.9043016274775932,0.8302071313638364,-0.0602643202643202,-0.039618653819868,-0.0613765556210939,-0.0239843461066152,-0.0391916419776407,0.0109031182756464,0.0150628035623742,0.0105584962749108,0.0043964781864572,0.03611300521557,0.0435492091340236,0.0589739935280553,0.0305441366289286,0.0571863476549537
LG009,logistic_regression,classic,none,none,reweighing,none,reject_option_classification,3,,,,,,0.7300054545563528,0.8610013621078618,0.732860129855838,0.7916136800757316,0.007088137088137,0.077400987914096,-0.0171016880398697,0.0747702063783832,0.0251206115722641,0.0055975142509974,0.0115758536902834,0.0172626156214099,0.0064734174584163,0.0079253552777241,0.0810051232059294,0.0157014007595052,0.0818516602904189,0.0188566912921799
LG010,logistic_regression,classic,none,none,reweighing,random,none,3,,,,,,0.7369854884824946,0.8004361362294942,0.839911717594121,0.8148720885904113,-0.024095284095284,-0.0107330477101449,-0.0715764922913071,-0.0101689213647434,0.0060182230753672,0.0271125770730458,0.0396058478057171,0.1141780449068958,0.0379874898437061,0.0179205242064191,0.0268041040284451,0.0372416485511338,0.0599826108853216,0.0176729342105664
LG011,logistic_regression,classic,none,none,reweighing,random,calibrate_equalized_odds,3,,,,,,0.7299814784844725,0.791420812934451,0.8456280645121846,0.811929845596782,-0.032113302113302,-0.0114274921545893,-0.0648172460056492,0.0021746098648006,-0.0101892142006184,0.0219712443657111,0.0483761855291212,0.1193502880373501,0.0354943417616928,0.0307069019687824,0.0433203450893192,0.0458804171311029,0.0466127179708267,0.0419691294280628
LG012,logistic_regression,classic,none,none,reweighing,random,reject_option_classification,3,,,,,,0.7289834744924565,0.8589373865573372,0.7342173801401269,0.7909874106521338,-0.006064386064386,0.0498309054730808,-0.0316223294409841,0.05404023827672,0.0198450394429042,0.0186844248574507,0.0211291357905514,0.0414809186671373,0.019458393207726,0.0095990148481643,0.0694095832188521,0.0334056427684445,0.0904800318792284,0.017313178897195
RF007,random_forest,classic,none,none,reweighing,none,none,3,,,,,,0.7580095065125004,0.7877068026190832,0.895742391450546,0.8381950756093203,-0.0313106113106113,0.0007843516158556,-0.0540193911823868,0.0155029859458783,-0.0081178059018398,0.0082328813268485,0.0022416568908962,0.0175704325127187,0.0071599309574847,0.0362976474540197,0.0680320482424198,0.0396496936107162,0.1168420592169227,0.0244106413026162
RF008,random_forest,classic,none,none,reweighing,none,calibrate_equalized_odds,3,,,,,,0.7399944855034676,0.7648369692704667,0.9100485430957532,0.8306261190734032,-0.0828398328398328,-0.019733325151821,-0.0252546437106509,0.0612330770050733,-0.085699770357051,0.0289254938420756,0.0293019192078849,0.0297390105946205,0.0159878022924866,0.0808410218675989,0.0815318141979396,0.0414722268065812,0.049953875391792,0.1012133024838392
RF009,random_forest,classic,none,none,reweighing,none,reject_option_classification,3,,,,,,0.7099584614554675,0.8686242379475368,0.6912989252045046,0.7677278956739118,0.0200973000973001,0.0424511586172093,-0.0771389186345032,0.0119298357338362,0.0629483264522937,0.0409279813047905,0.0202378189792953,0.080932048313267,0.0446971826777443,0.0221869296660083,0.05229215807682,0.040095541530144,0.0404316233681063,0.0425813409345154
RF010,random_forest,classic,none,none,reweighing,random,none,3,,,,,,0.7509785234336133,0.811728672586265,0.8456830881723585,0.8250169423592665,-0.0127715827715827,0.0275535983778433,-0.0487885072195795,0.0511711464956033,0.0151413899552249,0.0213635907331792,0.0408904428795552,0.0899925645216623,0.026490753582679,0.0459842998800596,0.0509577715850604,0.0273618250321269,0.0669104533285382,0.0262162649775776
RF011,random_forest,classic,none,none,reweighing,random,calibrate_equalized_odds,3,,,,,,0.7459855064645483,0.8044445342920068,0.8499688199259015,0.8228079865178451,0.0001059101059101,0.0290687498929948,-0.061454633632894,0.0439929701312392,0.0294859222345398,0.0154502158800424,0.0437028802839235,0.0941907565833155,0.0245136618180912,0.0274981360075281,0.0566985155094004,0.0507087575157864,0.0572135973157928,0.0284388137921681
