config_id,n_splits,mean_Accuracy,mean_Precision,mean_Recall,mean_F1-Score,mean_Demographic Parity Diff.,mean_Equal Opportunity Diff.,mean_Predictive Parity Diff.,mean_Average Predictive Value Diff.,mean_Average Odds Diff.,std_Accuracy,std_Precision,std_Recall,std_F1-Score,std_Demographic Parity Diff.,std_Equal Opportunity Diff.,std_Predictive Parity Diff.,std_Average Predictive Value Diff.,std_Average Odds Diff.,eta,model_name,adversary_loss_weight,num_epochs,classifier_num_hidden_units,debias
AIF360|model=prejudice_remover|encoder=ordinal|scaler=standardization|{'eta':0.0},3,0.7369914825004645,0.7914589505226957,0.8485626597214581,0.8187990924990287,-0.11131201131201134,-0.0718831508140394,-0.03591474288418176,0.0010163620686918413,-0.09341114636573955,0.014096073259216154,0.020093531259648422,0.013929735025093365,0.006816032606054647,0.09546588565813195,0.08945995629003399,0.07522315357377508,0.03329336605287652,0.12860665757909442,0.0,prejudice_remover,,,,
AIF360|model=prejudice_remover|encoder=ordinal|scaler=standardization|{'eta':1.0},3,0.7359904814994636,0.7881365146426424,0.852848391475001,0.819024077388614,-0.09813099813099817,-0.06439382010945545,-0.044201705807517776,-0.003673557707954559,-0.07730560570690165,0.018459325751158183,0.02229716089621733,0.010090855232081909,0.009526284353528211,0.08035958961723749,0.07717788175556155,0.0636618726903742,0.038035135023810236,0.10836492756580084,1.0,prejudice_remover,,,,
AIF360|model=prejudice_remover|encoder=ordinal|scaler=standardization|{'eta':5.0},3,0.7269874665084246,0.7760290486564996,0.8585708521330838,0.8149926456242204,-0.05759479759479761,-0.03100091996404068,-0.05631193994607083,0.0013680663621464435,-0.03575463679853569,0.01618964918952333,0.020938397140861868,0.012880277675334112,0.00749204989204363,0.07798463723512478,0.06751585354578991,0.059025596264725776,0.04868512559528183,0.10323979374488708,5.0,prejudice_remover,,,,
AIF360|model=prejudice_remover|encoder=ordinal|scaler=standardization|{'eta':10.0},3,0.7309854764944586,0.7762229610482357,0.8657055867356297,0.8183212932429234,-0.03303261303261303,-0.004743682553395227,-0.05724309372149905,0.012765942007942363,-0.011800948172033199,0.012577724750916777,0.014327084095054565,0.022097691913745034,0.008865835438565004,0.05781841268941539,0.041084797959735575,0.06682421083940343,0.0826804323549447,0.08979352818757846,10.0,prejudice_remover,,,,
AIF360|model=prejudice_remover|encoder=ordinal|scaler=standardization|{'eta':25.0},3,0.7299874725024426,0.7743896329198167,0.8671362019001504,0.81801044194972,-0.01476126476126475,-0.0070996353122488864,-0.07639840591060103,-0.02004187724871374,0.017241070855477148,0.01125707214708825,0.010876051413830369,0.019730208897483805,0.008489218719011976,0.07722735993439622,0.05252100570036746,0.06627555516931828,0.09665251529040676,0.10899301216420033,25.0,prejudice_remover,,,,
AIF360|model=prejudice_remover|encoder=ordinal|scaler=standardization|{'eta':50.0},3,0.7309914705124285,0.7754247686006216,0.8671423156401697,0.8185855275401582,0.00975975975975977,0.02652569591269612,-0.07078969962963744,0.01262381477321813,0.0367419085109604,0.007386752918099244,0.01100005963839796,0.017170520204590402,0.005211879971228497,0.08923322077883837,0.043806879057735955,0.06789160849659329,0.07490770794498956,0.1196675783679615,50.0,prejudice_remover,,,,
AIF360|model=prejudice_remover|encoder=ordinal|scaler=standardization|{'eta':100.0},3,0.7299904695114275,0.7744863147716389,0.8671423156401697,0.818043804334419,0.008335258335258314,0.02652569591269612,-0.06948100885457198,0.015107428453433788,0.034326449573762324,0.008389109969511905,0.012598725588955676,0.017170520204590402,0.00521838728721998,0.09061597488889084,0.043806879057735955,0.07007352329258677,0.07526070040630149,0.12247462266856791,100.0,prejudice_remover,,,,
"AIF360|model=adversarial_debiasing|encoder=ordinal|scaler=standardization|{'adversary_loss_weight':0.01,'num_epochs':50,'classifier_num_hidden_units':64,'debias':True}",3,0.6469343595092097,0.8082717658988846,0.6526539745423865,0.7170190452151703,-0.5915655515655516,-0.6261114998381941,0.0814956924702442,-0.023315697451058947,-0.5398907195310653,0.05686615891848077,0.021721351437772023,0.12540587877404058,0.06811838921679729,0.11726962934448534,0.2013178526925155,0.08763949165794765,0.028029300615849125,0.09379476721924708,,adversarial_debiasing,0.01,50.0,64.0,True
"AIF360|model=adversarial_debiasing|encoder=ordinal|scaler=standardization|{'adversary_loss_weight':0.01,'num_epochs':50,'classifier_num_hidden_units':128,'debias':True}",3,0.6140721559883237,0.7652845152845154,0.6889512490370859,0.6934215885080507,-0.3941699041699042,-0.42236564427233797,-0.0339467326240542,-0.03164910354530449,-0.36721952152840837,0.07974975140265722,0.07441381967763165,0.29110239723737164,0.12961047180217727,0.36674737846054195,0.38179211404509256,0.16673961335871434,0.03853324696273174,0.35581985034380037,,adversarial_debiasing,0.01,50.0,128.0,True
"AIF360|model=adversarial_debiasing|encoder=ordinal|scaler=standardization|{'adversary_loss_weight':0.01,'num_epochs':50,'classifier_num_hidden_units':200,'debias':True}",3,0.6669903436370502,0.810604375231739,0.7057701478302336,0.7390991464923905,-0.4078549878549878,-0.4311251459831582,-0.2685883533801556,-0.17241350757256657,-0.36225300465746657,0.05321376503172983,0.06347295694971948,0.19607953897352018,0.08120073892003267,0.27028022435353183,0.34127375428485157,0.50827983234851,0.3050365015998434,0.21623355521825688,,adversarial_debiasing,0.01,50.0,200.0,True
"AIF360|model=adversarial_debiasing|encoder=ordinal|scaler=standardization|{'adversary_loss_weight':0.01,'num_epochs':150,'classifier_num_hidden_units':64,'debias':True}",3,0.6920992849136561,0.7693188282138794,0.813231356149811,0.7759420457689165,-0.16751716751716753,-0.22138590291758622,-0.32744860007791043,-0.16305104613989488,-0.1190869788367284,0.08785083683769118,0.033582269445039885,0.22721984548052224,0.10551115742146662,0.44976100551456427,0.4503447411821486,0.41919033661149124,0.2176485752975174,0.4497016435388337,,adversarial_debiasing,0.01,150.0,64.0,True
"AIF360|model=adversarial_debiasing|encoder=ordinal|scaler=standardization|{'adversary_loss_weight':0.01,'num_epochs':150,'classifier_num_hidden_units':128,'debias':True}",3,0.6660372947798098,0.8122438296355697,0.6801046672291307,0.735674165785125,-0.3555769055769056,-0.3948624049969253,-0.011516021054805092,-0.031285669061780624,-0.3027418288774067,0.07353842897587014,0.003982393750416522,0.13589436262203816,0.07709788581946295,0.35609447351535634,0.3616896899138299,0.10613116530077912,0.03016448399195182,0.36156175835379367,,adversarial_debiasing,0.01,150.0,128.0,True
"AIF360|model=adversarial_debiasing|encoder=ordinal|scaler=standardization|{'adversary_loss_weight':0.01,'num_epochs':150,'classifier_num_hidden_units':200,'debias':True}",3,0.6880083676490862,0.8012800522507854,0.7441827763716176,0.7691241486479851,-0.21086800086800087,-0.19863897982576606,-0.007340177191141699,0.030351238684588434,-0.18473620784141168,0.018036310078917237,0.049292270091181874,0.06255020896063854,0.015024952962189407,0.34595686198241293,0.3908762325702533,0.103487190123598,0.13052673852591384,0.3386320613422818,,adversarial_debiasing,0.01,150.0,200.0,True
"AIF360|model=adversarial_debiasing|encoder=ordinal|scaler=standardization|{'adversary_loss_weight':0.01,'num_epochs':300,'classifier_num_hidden_units':64,'debias':True}",3,0.628026229822637,0.8467670549648428,0.5743125099348275,0.6833484598629962,-0.5869185969185969,-0.6698026382079149,0.014009417623875456,-0.060394951025563214,-0.5142246420208804,0.022765263087337548,0.04215792872459967,0.03798346375185704,0.023120930135034728,0.07927755729899978,0.060044424144222376,0.16728744671109155,0.029924424493806584,0.098921668596369,,adversarial_debiasing,0.01,300.0,64.0,True
"AIF360|model=adversarial_debiasing|encoder=ordinal|scaler=standardization|{'adversary_loss_weight':0.01,'num_epochs':300,'classifier_num_hidden_units':128,'debias':True}",3,0.6810073546600494,0.8069566262809115,0.7171233630461099,0.7558676238878688,-0.211991921991922,-0.20392616634263386,0.016865473767314287,0.03120617500572631,-0.1777823502497189,0.054428016939889086,0.01787326956415881,0.11007825305331484,0.05989243588074456,0.3591740947056718,0.43232189818016553,0.14554004556113778,0.045221120018849176,0.33953046610079124,,adversarial_debiasing,0.01,300.0,128.0,True
"AIF360|model=adversarial_debiasing|encoder=ordinal|scaler=standardization|{'adversary_loss_weight':0.01,'num_epochs':300,'classifier_num_hidden_units':200,'debias':True}",3,0.6960643278008547,0.8146807629211062,0.733031314576379,0.7687457384530744,-0.21646660646660645,-0.19577305958526606,0.0151110484907561,0.02356633532391188,-0.19557913086052015,0.055891323413720384,0.011081675924803934,0.10593432758422393,0.0601776669721911,0.25071210272807004,0.25488098765404216,0.049478231096360376,0.054500138803726256,0.2364124806342546,,adversarial_debiasing,0.01,300.0,200.0,True
"AIF360|model=adversarial_debiasing|encoder=ordinal|scaler=standardization|{'adversary_loss_weight':0.1,'num_epochs':50,'classifier_num_hidden_units':64,'debias':True}",3,0.456147764530998,0.8891812865497076,0.32616191629067165,0.3137890667727919,-0.07849457849457851,-0.05950158276476736,-0.6193317251084115,-0.2735656264539697,-0.08705950261816364,0.23718291997097637,0.12681532964987077,0.5132289254657131,0.4449778267034365,0.08071883760501619,0.0384787996612916,0.5886445296172904,0.27292142805460406,0.10790518684458852,,adversarial_debiasing,0.1,50.0,64.0,True
"AIF360|model=adversarial_debiasing|encoder=ordinal|scaler=standardization|{'adversary_loss_weight':0.1,'num_epochs':50,'classifier_num_hidden_units':128,'debias':True}",3,0.709008409607212,0.7566967229205254,0.9055793991416309,0.8110491898944417,-0.13063063063063063,-0.12183219178082194,-0.012518149460824671,-0.022554621289116793,-0.12104626001038833,0.015351096624509793,0.09794412602153037,0.1635412779678768,0.02179733965457081,0.2262588892770155,0.21101954616185897,0.134034534595027,0.04408838416335145,0.20965827240418541,,adversarial_debiasing,0.1,50.0,128.0,True
"AIF360|model=adversarial_debiasing|encoder=ordinal|scaler=standardization|{'adversary_loss_weight':0.1,'num_epochs':50,'classifier_num_hidden_units':200,'debias':True}",3,0.6979794165422909,0.7917907062367462,0.8069770001100474,0.7777391486995148,-0.1272852572852573,-0.18621062068348046,-0.04941424965086727,-0.04296819072003546,-0.06745582255026528,0.05977680828266322,0.08284577786805199,0.2311659417713534,0.09204543742865615,0.3571782671479918,0.41022252100794354,0.14405553094699156,0.14345974734236067,0.3373005716153008,,adversarial_debiasing,0.1,50.0,200.0,True
"AIF360|model=adversarial_debiasing|encoder=ordinal|scaler=standardization|{'adversary_loss_weight':0.1,'num_epochs':150,'classifier_num_hidden_units':64,'debias':True}",3,0.5651369932807059,0.8477365114560236,0.4718034310308988,0.5776632413936411,-0.4138299138299138,-0.4772760146127703,-0.30588921359439064,-0.18998489105908592,-0.35996499237072904,0.12048756177996636,0.03847462238008194,0.22895248416431904,0.20775707163922036,0.22842955291089004,0.24910930832065126,0.5066597400689234,0.17891216596652948,0.2132904660476453,,adversarial_debiasing,0.1,150.0,64.0,True
"AIF360|model=adversarial_debiasing|encoder=ordinal|scaler=standardization|{'adversary_loss_weight':0.1,'num_epochs':150,'classifier_num_hidden_units':128,'debias':True}",3,0.300000599401797,0.0,0.0,0.0,0.0,0.0,0.0,0.037485387485387496,0.0,0.000519097183281766,0.0,0.0,0.0,0.0,0.0,0.0,0.031753982220695816,0.0,,adversarial_debiasing,0.1,150.0,128.0,True
